uid,monolayer1,monolayer2,C33_DFT
Pd1S2_W1Te2,Pd1S2,W1Te2,24.99
Hf1S2-T1_Hf1S2-T1,Hf1S2-T1,Hf1S2-T1,24.81
Nb1S2-T1_Zn1O1,Nb1S2-T1,Zn1O1,24.39
Re1Se2_Si1C1,Re1Se2,Si1C1,24.329
Nb1Te2_Nb1Te2,Nb1Te2,Nb1Te2,24.153000000000002
Mo1Se2-T1_Mo1Se2-T1,Mo1Se2-T1,Mo1Se2-T1,24.134
Mo1S2_W1S2-T1,Mo1S2,W1S2-T1,23.475
Mo1S2-T1_Ta1Cl2,Mo1S2-T1,Ta1Cl2,23.401999999999997
Ga2S2_Pt1Se2,Ga2S2,Pt1Se2,23.305
Ni1Te2_W1Te2,Ni1Te2,W1Te2,22.916
Nb1S2_Ti1S2,Nb1S2,Ti1S2,22.455
Hf1S2_Ta1Se2,Hf1S2,Ta1Se2,22.394000000000002
Mo1Te2-T1_Ti1Se2,Mo1Te2-T1,Ti1Se2,22.35
Re1S2_Re1S2,Re1S2,Re1S2,22.064
Nb1Te2-T1_Ti1Se2,Nb1Te2-T1,Ti1Se2,22.035
Ta1S2_Ti1S2,Ta1S2,Ti1S2,21.666999999999998
Hf1S2_Hf1S2,Hf1S2,Hf1S2,21.596999999999998
Mo1Te2-T1_Nb1Se2-T1,Mo1Te2-T1,Nb1Se2-T1,21.515
Mo1Te2-T1_Pd1Se2,Pd1Se2,Mo1Te2-T1,21.3
Hf1S2_Ni1Te2,Hf1S2,Ni1Te2,21.009
Mo1Te2-T1_Ni1S2,Ni1S2,Mo1Te2-T1,20.891
Mo1S2-T1_Mo1S2-T1,Mo1S2-T1,Mo1S2-T1,20.809
Si1C1_Ta1Cl2,Si1C1,Ta1Cl2,20.752
Ni1Se2_W1S2-T1,Ni1Se2,W1S2-T1,20.449
Mo1Te2-T1_Pt1S2,Pt1S2,Mo1Te2-T1,20.38
Hf1Se2_Hf1Se2-T1,Hf1Se2,Hf1Se2-T1,20.362000000000002
Mo1Se2-T1_Zn1O1,Mo1Se2-T1,Zn1O1,20.362000000000002
Cd1O1_Hf1Se2-T1,Cd1O1,Hf1Se2-T1,20.297
Hf1Se2_Hf1Se2,Hf1Se2,Hf1Se2,20.250999999999998
Mo1Te2_Nb1Te2-T1,Mo1Te2,Nb1Te2-T1,19.826
Ga2S2_Hf1Se2-T1,Ga2S2,Hf1Se2-T1,19.404
Re1S2-T1_Re1S2-T1,Re1S2-T1,Re1S2-T1,19.253
Ga2S2_Hf1S2-T1,Ga2S2,Hf1S2-T1,19.176
Ta1Se2_Ti1Se2,Ta1Se2,Ti1Se2,18.968
Hf1Te2-T1_Hf1Te2-T1,Hf1Te2-T1,Hf1Te2-T1,18.855
Mo1S2_Ta1Cl2,Mo1S2,Ta1Cl2,18.802
Si1C1_W1Cl2,Si1C1,W1Cl2,18.651
Si1C1_W1S2,Si1C1,W1S2,17.839000000000002
Hf1S2_Nb1Te2-T1,Hf1S2,Nb1Te2-T1,17.08
Hf1Se2-T1_Pt1Se2,Pt1Se2,Hf1Se2-T1,16.875
Mo1S2_Si1C1,Mo1S2,Si1C1,15.713
C2_C2,C2,C2,15.597000000000001
Mo1Se2-T1_W1Se2,Mo1Se2-T1,W1Se2,15.431
Cd1O1_Ti1Te2,Cd1O1,Ti1Te2,14.091
Nb1Te2_Ni1Te2,Nb1Te2,Ni1Te2,13.908
Ti1Te2_Ti1Te2,Ti1Te2,Ti1Te2,12.605
Mo1S2-T1_Si1C1,Si1C1,Mo1S2-T1,12.123
B1N1_B1N1,B1N1,B1N1,12.107999999999999
B1N1_C2,B1N1,C2,12.037
Si1C1_Si1C1,Si1C1,Si1C1,11.532
Mo1Te2-T1_Ni1Te2,Ni1Te2,Mo1Te2-T1,10.874
Re1S2-T1_Si1C1,Si1C1,Re1S2-T1,10.460999999999999
Re1S2_Zn1O1,Re1S2,Zn1O1,10.177
Nb1Te2_Ti1Se2,Nb1Te2,Ti1Se2,9.74
Hf1S2_Ti1Se2,Hf1S2,Ti1Se2,9.735
Zn1O1_Zn1O1,Zn1O1,Zn1O1,7.08
Hf1Te2_Hf1Te2,Hf1Te2,Hf1Te2,4.761
Ti1S2_Ti1S2,Ti1S2,Ti1S2,4.519
Ti1Se2_Ti1Se2,Ti1Se2,Ti1Se2,4.477
Cd1O1_Cd1O1,Cd1O1,Cd1O1,4.385
