uid,monolayer1,monolayer2,IE_DFT
Mo1Te2-T1_Ti1Se2,Mo1Te2-T1,Ti1Se2,-0.523238863
Nb1S2-T1_Nb1Se2-T1,Nb1S2-T1,Nb1Se2-T1,-0.47951416700000005
Nb1S2-T1_Ta1S2,Nb1S2-T1,Ta1S2,-0.44890688
Nb1S2-T1_Ti1S2,Nb1S2-T1,Ti1S2,-0.505748985
Nb1S2-T1_W1Se2,Nb1S2-T1,W1Se2,-0.511578944
Nb1S2-T1_Zn1O1,Nb1S2-T1,Zn1O1,-0.501376515
Nb1Se2-T1_Ta1Se2,Nb1Se2-T1,Ta1Se2,-0.387692305
Nb1Te2-T1_Ta1Se2,Nb1Te2-T1,Ta1Se2,-0.43433198100000003
Nb1Te2-T1_Ti1Se2,Nb1Te2-T1,Ti1Se2,-0.47659918700000004
Nb1Te2-T1_W1Te2,Nb1Te2-T1,W1Te2,-0.393522265
Re1S2-T1_Ta1Cl2,Re1S2-T1,Ta1Cl2,-0.35562752799999997
Re1S2-T1_W1Cl2,Re1S2-T1,W1Cl2,-0.403724694
W1S2_W1S2-T1,W1S2-T1,W1S2,-0.44453441
Ta1Cl2_W1Cl2,Ta1Cl2,W1Cl2,-0.31336032199999997
Ta1Cl2_W1S2,Ta1Cl2,W1S2,-0.3308502
Ta1S2_Ti1S2,Ta1S2,Ti1S2,-0.320647771
Ta1S2_W1Se2,Ta1S2,W1Se2,-0.30753036300000003
Ta1S2_Zn1O1,Ta1S2,Zn1O1,-0.378947366
Ta1Se2_Ti1Se2,Ta1Se2,Ti1Se2,-0.284210525
Ta1Te2_W1Te2,Ta1Te2,W1Te2,-0.244858298
Ti1S2_W1Se2,Ti1S2,W1Se2,-0.36874493700000005
Ti1S2_Zn1O1,Ti1S2,Zn1O1,-0.45036437
Ti1Se2_W1Te2,Ti1Se2,W1Te2,-0.303157893
W1Se2_Zn1O1,W1Se2,Zn1O1,-0.383319836
Cd1O1_Cd1O1,Cd1O1,Cd1O1,-0.20842105100000002
