Monolayer,Atom_HardnessRB_StDiv,Atom_Inv_Diff_ENARrev_ENGordyRev_Range,Atom_Inv_Diff_ENGordyRev_EA_StDiv,Atom_Inv_Diff_ENGordyRev_IP5_StDiv,Atom_Inv_Diff_ENGordyRev_IP6_StDiv,Atom_Inv_Diff_IP7_IP8_StDiv,Atom_Inv_Mult_EA_ThermalExpansion_Range,Atom_Inv_Mult_IP2_LatticeConstant_Min,Atom_Inv_Mult_SpeedSound_Zeff_Median,Atom_Log_Mult_ENGordyRev_IP6_Range,Atom_Log_Mult_IP7_Period_Range,Atom_Log_Mult_SpeedSound_RadiiCordero08_Median,Atom_Log_Ratio_IP2_IP3_StDiv,Atom_Log_Ratio_IP6_IP7_Max,Atom_Log_Ratio_PoissonRatio_Ntotal_Range,Atom_Mult_EA_dHAtom_Max,Atom_Mult_EA_dHAtom_StDiv,Atom_Mult_EA_dHFus_StDiv,Atom_Mult_IP8_SpeedSound_Min,Atom_Mult_IP8_SpeedSound_StDiv,Atom_Mult_LatticeConstant_Density_StDiv,Atom_Mult_LatticeConstant_RadiiBatsanov_Min,Atom_Mult_ThermalCond_YoungsModule_StDiv,Atom_Ratio_Density_TDebye0_Min,Atom_Ratio_EA_ThermalExpansion_Min,Atom_Ratio_ENARrev_YoungsModule_Min,Atom_Ratio_dHFus_SpeedSound_StDiv,CrystSyst_hexagonal,CrystSyst_trigonal,EState_Dist_Hf_EA,EState_Dist_Ti_ENARrev,EState_Topo_Ni_Zeff,EState_Topo_Pd_Zeff,EState_Topo_Te_dHAtom,Moment_N_f_2,Moment_SpeedSound_1,Moment_TCritical_1,Moment_TCurie_1,Moment_TCurie_3,Moment_ThermalExpansion_1,SG164,SG187,
Hf1Te1Se4,0.01056,0.00266,0.08001,0.03943,0.07859,0.09521,0.00047999999999999996,0.25301,0.07006,0.0615,0.01796,0.86965,0.008,-0.1107,0.00075,0.38201,0.07741,0.061079999999999995,0.26225,0.07406,0.08352000000000001,0.33058000000000004,0.008320000000000001,0.16695,0.10217999999999999,0.13139,0.12547,0,0,-0.18814,0.0,0.0,0.0,197.0,-1.92733,-3.80154,-3.3325400000000003,0.0,0.0,-3.33253,0,0,
Li2U1Br6,0.03437,0.03859,0.0492,0.06665,0.09787,0.30307,0.07109,0.05675,0.00732,0.12229000000000001,0.05666,0.9374899999999999,0.00778,-0.11379,0.0,0.31376,0.11560999999999999,0.05685,0.2239,0.0,0.14947,0.30096,0.031689999999999996,0.00825,0.01346,0.00734,0.08134,0,1,0.0,0.0,0.0,0.0,0.0,5.92753,2.06736,3.42025,0.0,0.0,1.93573,0,0,
Cu1Au1O2,0.08322,0.03808,0.22258000000000003,0.16396,0.17218,0.24528000000000003,0.00793,0.21882,0.38965,0.13583,0.13401,0.6952699999999999,0.03518,-0.1426,0.12563,0.70757,0.1697,0.08105,0.15975,0.11406,0.30284,0.3315,0.17071,0.13725,0.14014000000000001,0.013080000000000001,0.09923,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.14347,0.0,0.0,0.0,-1.68956,0,0,
Te2H4O8,0.06486,0.014769999999999998,0.09776,0.14998,0.18142,0.21899000000000002,0.0,0.2392,0.48318999999999995,0.13626,0.11886,0.5602600000000001,0.01226,-0.34951,0.0,0.32337,0.07717,0.08089,0.19471,0.02702,0.08918,0.18939,0.0,0.0030800000000000003,0.0,0.13139,0.09357,0,0,0.0,0.0,0.0,0.0,-7.4,0.0,1.9013099999999998,0.0,0.0,0.0,0.0,0,0,
Ho2Br2O2,0.13822,0.0008300000000000001,0.15473,0.16704000000000002,0.11857000000000001,0.28033,0.0,0.2392,0.30278,0.09602999999999999,0.17507999999999999,0.72943,0.04365,-0.09813,0.0,0.31376,0.10552,0.05467999999999999,0.19471,0.02773,0.10112,0.38298000000000004,0.0,0.24604,0.056470000000000006,0.21313000000000001,0.11967,0,1,0.0,0.0,0.0,0.0,0.0,1.65032,0.9528200000000001,0.0,0.95281,13.34038,0.95281,1,0,
Ga2Te2Cl2,0.047560000000000005,0.01097,0.03399,0.10885,0.15464,0.24169000000000002,0.0,0.2704,0.08993,0.06888999999999999,0.08148999999999999,0.8503200000000001,0.02698,-0.09767999999999999,0.0,0.36708,0.11734000000000001,0.09139,0.05042,0.11821,0.08632999999999999,0.42089,0.0,0.09666,0.0067,0.13139,0.24522,0,0,0.0,0.0,0.0,0.0,167.0,0.0,-1.0338100000000001,-1.0338100000000001,0.0,0.0,-1.0338100000000001,0,0,
Bi4Br12,0.006670000000000001,0.007640000000000001,0.061329999999999996,0.02121,0.01821,0.2155,0.0,0.34979,0.11886,0.029710000000000004,0.05555,0.82595,0.01167,-0.09112,0.0,0.31376,0.06551,0.027089999999999996,0.15344000000000002,0.0,0.11547,0.50161,0.0,0.43173,0.13159,0.10805999999999999,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-6.20199,-11.220080000000001,0.0,0.0,0.0,-11.220080000000001,0,0,
Y2Br2O2,0.06891,0.00583,0.16979,0.15675,0.11978,0.28071999999999997,0.0,0.2392,0.25695,0.15925,0.17507999999999999,0.73825,0.01355,-0.11059000000000001,0.0,0.31376,0.09425,0.05686,0.19471,0.04988,0.056229999999999995,0.4022,0.0,0.0958,0.054189999999999995,0.00715,0.0604,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9616100000000001,0.9616100000000001,0.0,0.0,0.9616100000000001,0,0,
Ta1Cl2,0.08825,0.00073,0.14018,0.14639000000000002,0.00902,0.25868,0.0,0.25132,1.0,0.008620000000000001,0.10061,0.56038,0.03507,-0.09767999999999999,0.0,0.36708,0.07388,0.00021,0.05042,0.13277,0.22386999999999999,0.33434,0.0,0.35984,0.09593,0.19969,0.10217999999999999,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25035,0.0,0.0,0.0,0.0,1,0,
Nd2Br2O2,0.14032,0.035910000000000004,0.15012,0.17445,0.13237000000000002,0.32461999999999996,0.0,0.2392,0.28109,0.12996,0.17507999999999999,0.72296,0.05785,-0.09794,0.0,0.31376,0.12459,0.05997,0.18664,0.00404,0.07862000000000001,0.41171,0.0,0.22849,0.031580000000000004,0.054079999999999996,0.05147,0,0,0.0,0.0,0.0,0.0,0.0,2.9891900000000002,0.9964,0.0,0.0,0.0,0.9964,0,0,
Sr2Sb2Se4F2,0.09071,0.00579,0.10309000000000001,0.13748,0.13330999999999998,0.22634,0.46424,0.19345,0.07006,0.20375,0.07088,0.86965,0.1727,-0.09651,0.42723999999999995,0.38201,0.13774,0.05085,0.33402,0.04671,0.08248,0.38035,0.00783,0.09183999999999999,0.00433,0.07647000000000001,0.0857,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.02536,0.0,0.0,0.0,1.02536,0,0,
Nb2O5-T1,0.0736,0.00632,0.21454,0.21885,0.062439999999999996,0.28049,0.0,0.2392,0.48318999999999995,0.1424,0.12455999999999999,0.5602600000000001,0.02325,-0.09218,0.0,0.54578,0.10967,0.0723,0.19471,0.062270000000000006,0.09658,0.32576,0.0,0.16504000000000002,0.22915,0.00573,0.13865,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-3.22422,-3.10661,0.0,0.0,-3.10661,0,0,
Zr2Te6,0.0354,0.00349,0.03658,0.09946,0.12113,0.03695,0.0,0.28808,0.08993,0.01499,0.014169999999999999,0.85814,0.037739999999999996,-0.09021,0.0,0.32337,0.04686,0.07484,0.26225,0.04102,0.0306,0.34109,0.00773,0.11924000000000001,0.14017000000000002,0.007690000000000001,0.022369999999999998,0,0,0.0,0.0,0.0,0.0,-165.66666999999998,0.0,-1.93222,-3.27053,0.0,0.0,-3.27053,0,0,
Co1Re2O8,0.10292000000000001,0.017419999999999998,0.11922999999999999,0.20135,0.19399999999999998,0.0962,0.43346,0.18070999999999998,0.48318999999999995,0.14264000000000002,0.14958,0.5602600000000001,0.03021,-0.12555999999999998,0.19634000000000001,0.30301,0.1119,0.02023,0.19471,0.13305999999999998,0.20063,0.23049,0.00788,0.10284000000000001,0.004529999999999999,0.006509999999999999,0.1073,0,1,0.0,0.0,0.0,0.0,0.0,2.4771799999999997,1.8353,1.4302,2.8604,13.500979999999998,2.1621900000000003,0,0,
Ga4Ag4P8Se24,0.04241,0.01018,0.08212,0.05005,0.19217,0.09698,0.29128000000000004,0.23415999999999998,0.07006,0.15061,0.054810000000000005,0.86965,0.01135,-0.10654000000000001,0.10910999999999998,0.38201,0.10079,0.033139999999999996,0.23539000000000002,0.06962,0.08291,0.38035,0.15767,0.09666,0.0067,0.015,0.03737,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.209179999999998,15.209179999999998,0.0,0.0,15.209179999999998,0,0,
Sr2H2I2,0.09617,0.01323,0.16335,0.14722000000000002,0.07927999999999999,0.2537,0.0,0.49633999999999995,0.02659,0.048589999999999994,0.0235,0.6261800000000001,0.2161,-0.09766,0.0,0.27260999999999996,0.1084,0.07443999999999999,0.0,0.0,0.16247,0.18939,0.0,0.0030800000000000003,0.00433,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.05956,0.0,0.0,0.0,1.05956,0,0,
Bi1Te1Br1-T1,0.023209999999999998,0.007640000000000001,0.057999999999999996,0.02546,0.09172999999999999,0.23621,0.0,0.28808,0.10439000000000001,0.04509,0.056220000000000006,0.84205,0.0194,-0.09112,0.0,0.32337,0.07368999999999999,0.06758,0.15344000000000002,0.0544,0.11254000000000002,0.42089,0.0008,0.2182,0.13159,0.10805999999999999,0.01349,0,1,0.0,0.0,0.0,0.0,197.0,3.7331300000000005,2.1553299999999997,0.0,0.0,0.0,2.15532,0,0,
